Month,Opening Principal Balance,Rates,Cashflow,Interest Paid,Principal Paid,Closing Princial Balance
23,988324.8590886167,0.0978,8613.583831412854,8054.8476015723045,558.7362298405496,987766.1228587761
24,987766.1228587761,0.0978,8613.583831412854,8050.293901298914,563.2899301139405,987202.8329286622
25,987202.8329286622,0.0978,8613.583831412854,8045.703088368658,567.8807430441957,986634.952185618
26,986634.952185618,0.0978,8613.583831412854,8041.0748603128795,572.5089710999746,986062.443214518
27,986062.443214518,0.0978,8613.583831412854,8036.408912198289,577.1749192145653,985485.2682953035
28,985485.2682953035,0.0978,8613.583831412854,8031.704936606713,581.878894806141,984903.3894004973
29,984903.3894004973,0.0978,8613.583831412854,8026.9626236139065,586.6212077989476,984316.7681926984
30,984316.7681926984,0.0978,8613.583831412854,8022.181660770342,591.4021706425119,983725.3660220559
31,983725.3660220559,0.0978,8613.583831412854,8017.3617330797915,596.2220983330626,983129.1439237228
32,983129.1439237228,0.0978,8613.583831412854,8012.502522978602,601.0813084342517,982528.0626152885
33,982528.0626152885,0.0978,8613.583831412854,8007.603710314628,605.9801210982259,981922.0824941903
34,981922.0824941903,0.0978,8613.583831412854,8002.664972327553,610.9188590853009,981311.163635105
35,981311.163635105,0.0978,8613.583831412854,7997.6859836260755,615.8978477867786,980695.2657873182
36,980695.2657873182,0.0978,8613.583831412854,7992.6664161667195,620.9174152461346,980074.3483720721
37,980074.3483720721,0.0978,8613.583831412854,7987.605939232299,625.9778921805555,979448.3704798915
38,979448.3704798915,0.0978,8613.583831412854,7982.504219411077,631.0796120017767,978817.2908678898
39,978817.2908678898,0.0978,8613.583831412854,7977.3609205732555,636.2229108395986,978181.0679570502
40,978181.0679570502,0.0978,8613.583831412854,7972.175703850013,641.4081275628414,977539.6598294873
41,977539.6598294873,0.0978,8613.583831412854,7966.948227610343,646.6356038025115,976893.0242256848
42,976893.0242256848,0.0978,8613.583831412854,7961.678147439166,651.9056839736877,976241.1185417111
43,976241.1185417111,0.0978,8613.583831412854,7956.365116114981,657.2187152978731,975583.8998264133
44,975583.8998264133,0.0978,8613.583831412854,7951.0087835852955,662.5750478275586,974921.3247785857
45,974921.3247785857,0.0978,8613.583831412854,7945.60879694556,667.9750344672939,974253.3497441184
46,974253.3497441184,0.0978,8613.583831412854,7940.164800414486,673.4190309983678,973579.93071312
47,973579.93071312,0.0978,8613.583831412854,7934.676435311927,678.9073961009271,972901.0233170191
48,972901.0233170191,0.0978,8613.583831412854,7929.143340033848,684.4404913790058,972216.5828256401
49,972216.5828256401,0.0978,8613.583831412854,7923.565150028697,690.0186813841574,971526.564144256
50,971526.564144256,0.0978,8613.583831412854,7917.941497775862,695.6423336369917,970830.921810619
51,970830.921810619,0.0978,8613.583831412854,7912.272012756575,701.3118186562788,970129.6099919627
52,970129.6099919627,0.0978,8613.583831412854,7906.556321434464,707.0275099783903,969422.5824819843
53,969422.5824819843,0.0978,8613.583831412854,7900.794047228197,712.789784184657,968709.7926977996
